feature,f_binary,mi_binary,rf_binary,agg_stageA,f_type6,mi_type6,rf_type6,agg_stageB,selected,in_stageA,in_stageB
dp_PA,20.200352477544065,0.046574416849249456,0.001764460351923041,0.04795139396498696,691.2213976259812,0.19240764001526633,0.005108701255401467,0.22088001558748807,False,False,False
dp_GR,419.95833420854785,0.05365125953569194,0.0067247906880994945,0.12644962008263924,353.8386576336803,0.2529114270444195,0.005551359665966913,0.2177647870623753,False,False,False
dp_EK,6.267365843947744,0.07179141710437098,0.002393960873893979,0.08812800737991551,516.6756432488686,0.24353543886834084,0.003369757646494552,0.21153033938288568,False,False,False
dp_TA,1126.3731662594396,0.07851835547978281,0.0019261508289937963,0.13907832272048426,700.410082089977,0.26634608188938147,0.0032547993787946333,0.1995757869003786,False,False,False
dp_LY,240.60775805404543,0.03247732975786288,0.0018761089585528142,0.05821647605895526,439.8501970120631,0.14167405464408356,0.00680762075214384,0.19811312125265373,False,False,False
dp_LL,453.10212330165166,0.12350386260706947,0.006816331984927094,0.2125997059079397,213.9218759504397,0.3296497496334063,0.003042713356818455,0.19685992109746941,True,True,False
dp_KI,1946.3072018254004,0.09385468864310731,0.004911953991791269,0.21115275653526588,139.14423252789715,0.3773731555152202,0.0019324994377276947,0.19337033440384951,True,True,False
dp_SL,548.6377287788913,0.12406212699904029,0.009244869672130868,0.29708989042602685,246.59634865700622,0.29737661893962697,0.002677951680944323,0.18912405003169683,True,True,False
dp_VA,1930.62150809279,0.09254064646019944,0.006975889582443205,0.24492763584546176,324.61995461673814,0.315698153100064,0.002363444926709211,0.18559838228243983,True,True,False
dp_KE,54.06705765257626,0.06744066736505738,0.002082110144992222,0.08564249448969348,534.9205380647411,0.16548161018205887,0.00386152027951875,0.17859747637314471,False,False,False
dp_LA,61.91344144397349,0.09518995542919306,0.0035510776238741703,0.12880459100380398,83.27648059711713,0.3132563781491422,0.003295631613083078,0.17839908814829325,False,False,False
dp_RQ,557.7247744526078,0.04430959431492654,0.0012963499876910574,0.06599300758073426,533.9349019433014,0.23358975822456607,0.003481890083263634,0.17830870499589396,False,False,False
dp_IS,401.51715042295854,0.06459649315227467,0.0018725551423294847,0.0866364269957542,284.9293217075894,0.2713703200602229,0.002436633000216042,0.17403958062511637,False,False,False
dp_MA,739.3292267493908,0.038474533670809885,0.0030715011550849994,0.1140721801295787,233.98025091977084,0.19155346018548114,0.004568555095658202,0.17165385637954364,False,False,False
dp_FK,904.7046978704494,0.035168157316422866,0.003127711813448386,0.11833751783282202,462.48442890348474,0.13633301663642694,0.0046458925739856155,0.16873514918514187,False,False,False
dp_KK,30.113055540607117,0.06200214383161007,0.002616557501451634,0.0796847334041481,381.39763288756376,0.16407034248292662,0.00495155038186215,0.16598918291831047,False,False,False
dp_CG,659.8162450310957,0.03814768306468075,0.004971874861294816,0.14901290554769733,290.5768942362329,0.17244447875574043,0.005439701708007886,0.1632171458761489,False,False,False
dp_GI,397.88040538466356,0.0374317600815699,0.0014715810770753088,0.06388047336720143,128.91247272628976,0.14854860521073832,0.006006536323842979,0.1614023442644094,False,False,False
dp_GS,0.02490141887918512,0.07833271986460089,0.0027109168263610476,0.10351580049280609,148.01415332495236,0.22048658290729284,0.0038352599612674187,0.15989904030528568,False,False,False
dp_PC,667.1821172822674,0.018184944508297773,0.0031197359817654122,0.06623689208666848,379.1581805579769,0.11255800048223819,0.006826454382013276,0.15987329438930714,False,False,False
dp_KP,49.3192493894094,0.05375030624600674,0.0014387579013365596,0.05650689100970122,435.4394060384364,0.21050922672396322,0.0016440387295055731,0.15611490018595048,False,False,False
dp_VT,252.25515111642488,0.05353242388349799,0.0015315436557540275,0.06255599954958639,186.20583460022758,0.23898422154585708,0.002724839037327507,0.1553865247719943,False,False,False
